"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.179864167E-1,-5.214256897E0,-1.056832306E1,1.341660004E0,1.186077480E1
6.279264167E-1,-5.024601288E0,-1.055335419E1,1.582060089E0,1.179503357E1
6.378664167E-1,-4.267176361E0,-9.998458099E0,1.709445190E0,1.100455185E1
6.478064167E-1,-3.624712372E0,-9.820927277E0,1.507215729E0,1.057642906E1
6.577454167E-1,-3.170556793E0,-1.024828857E1,1.303040314E0,1.080637604E1
6.676854168E-1,-2.787054291E0,-1.045411057E1,8.307723999E-1,1.085109589E1
6.776254168E-1,-2.277813263E0,-1.086710175E1,3.776646423E-1,1.110967885E1
6.875654166E-1,-2.000140686E0,-1.117396362E1,-4.954696655E-2,1.135167304E1
6.975054166E-1,-2.164349213E0,-1.089898544E1,-5.743556213E-1,1.112664260E1
7.074454166E-1,-2.248474274E0,-1.076516373E1,-1.122665405E0,1.105462637E1
7.173854166E-1,-2.426903229E0,-1.064870590E1,-1.370998993E0,1.100747178E1
7.273244166E-1,-2.668500824E0,-1.047925827E1,-1.527573395E0,1.092104533E1
7.372644166E-1,-2.786006470E0,-1.053599030E1,-1.324745178E0,1.097833655E1
7.472044167E-1,-3.185825043E0,-1.070214478E1,-6.635700989E-1,1.118596036E1
7.571444167E-1,-3.232378235E0,-1.056383240E1,-1.245410156E-1,1.104800138E1
7.670844167E-1,-3.334465942E0,-1.068283493E1,3.501219177E-1,1.119661603E1
7.770244167E-1,-3.636088715E0,-1.090018295E1,8.464897156E-1,1.152179128E1
7.869634167E-1,-3.989054718E0,-1.068118835E1,1.372795258E0,1.148411551E1
7.969034167E-1,-3.978875885E0,-1.089045319E1,1.502725067E0,1.169151857E1
8.068434168E-1,-4.027973785E0,-1.114207993E1,1.626966705E0,1.195899404E1
8.167834168E-1,-4.346361694E0,-1.123922791E1,1.642534332E0,1.216178535E1
8.267234166E-1,-4.760849762E0,-1.136631363E1,1.416953430E0,1.240429494E1
8.366634166E-1,-5.223687286E0,-1.172421936E1,1.062640228E0,1.287918603E1
8.466034166E-1,-5.661526794E0,-1.225845840E1,7.497908020E-1,1.352349342E1
8.565424166E-1,-6.030958557E0,-1.268581970E1,5.447172546E-1,1.405699824E1
8.664824166E-1,-6.261030121E0,-1.289044418E1,7.828720093E-1,1.435189667E1
8.764224167E-1,-6.465654602E0,-1.282637741E1,1.472487946E0,1.443914359E1
8.863624167E-1,-6.516698456E0,-1.233644623E1,2.865341492E0,1.424308415E1
8.963024167E-1,-6.454278259E0,-1.148561554E1,4.489015045E0,1.391863241E1
9.062424167E-1,-6.349496155E0,-1.066008224E1,5.191653900E0,1.345015707E1
9.161814167E-1,-5.593867493E0,-9.915380859E0,4.290527802E0,1.216613167E1
9.261214167E-1,-4.275708618E0,-9.471104736E0,2.816093903E0,1.076633150E1
9.360614168E-1,-3.388952637E0,-9.528435516E0,1.314716034E0,1.019826268E1
9.460014168E-1,-2.742147675E0,-9.827663269E0,-1.580712891E-1,1.020427978E1
9.559414166E-1,-2.180814972E0,-1.012883698E1,-1.403481445E0,1.045557519E1
9.658814166E-1,-2.051334229E0,-1.028511200E1,-2.354902954E0,1.074881709E1
9.758214166E-1,-2.060315552E0,-1.021475830E1,-3.032992859E0,1.085289054E1
9.857604166E-1,-1.630110168E0,-1.067924240E1,-3.473526764E0,1.134763701E1
9.957004166E-1,-1.390757904E0,-1.060275146E1,-3.614383850E0,1.128788363E1
1.005640417E0,-1.228944397E0,-1.079914307E1,-3.363206177E0,1.137729982E1
1.015580417E0,-1.480720825E0,-1.146810196E1,-2.463427277E0,1.182279031E1
1.025520417E0,-1.740430756E0,-1.225217148E1,-1.894161072E0,1.251929117E1
1.035460417E0,-1.834435272E0,-1.268611908E1,-1.979932709E0,1.297007724E1
1.045399417E0,-2.096091156E0,-1.245260468E1,-2.375110931E0,1.284920672E1
1.055339417E0,-2.604583740E0,-1.190878555E1,-2.609074402E0,1.246636671E1
1.065279417E0,-3.295995941E0,-1.104493195E1,-2.179018707E0,1.173039784E1
1.075219417E0,-3.943399658E0,-1.027732819E1,-1.715283051E0,1.114073927E1
