"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.366969999E-1,2.665956116E-1,4.696782990E0,8.567134552E0,9.773772972E0
6.466379999E-1,3.270698547E-1,4.640799408E0,8.730744324E0,9.892921221E0
6.565799997E-1,3.294648743E-1,4.592899017E0,8.769513702E0,9.904930038E0
6.665220000E-1,2.757266235E-1,4.582720184E0,8.781638489E0,9.909315012E0
6.764639998E-1,2.805166626E-1,4.612508240E0,8.718619537E0,9.867535077E0
6.864059996E-1,3.754193115E-1,4.564757538E0,8.704548798E0,9.836011428E0
6.963479999E-1,4.664300537E-1,4.482728119E0,8.835526428E0,9.918615611E0
7.062899997E-1,4.426295471E-1,4.444707184E0,8.842412109E0,9.906543029E0
7.162319999E-1,3.749702454E-1,4.399052124E0,8.747659149E0,9.798663320E0
7.261729999E-1,2.977308655E-1,4.326004028E0,8.699010315E0,9.719862910E0
7.361149997E-1,3.224295044E-1,4.332141266E0,8.737480316E0,9.757815893E0
7.460569995E-1,4.328997803E-1,4.351900177E0,8.602311401E0,9.650191647E0
7.559989998E-1,8.189469910E-1,4.425696716E0,7.937394104E0,9.124674830E0
7.659409996E-1,9.066645813E-1,4.291126556E0,9.085805969E0,1.008898795E1
7.758829999E-1,8.970845032E-1,4.373006287E0,9.538165283E0,1.053112252E1
7.858249997E-1,1.317859497E0,4.954996033E0,9.692194977E0,1.096482480E1
7.957669999E-1,1.213077393E0,5.058281250E0,9.492061157E0,1.082390830E1
8.057089997E-1,7.044351196E-1,4.537364502E0,8.753197632E0,9.884451135E0
8.156499998E-1,5.526507568E-1,4.143084412E0,8.370593262E0,9.356142520E0
8.255919996E-1,8.238867188E-1,4.074077911E0,8.331374817E0,9.310677016E0
8.355339998E-1,1.188678131E0,4.072880402E0,8.511749725E0,9.510583255E0
8.454759996E-1,1.417851562E0,4.039499817E0,8.716673584E0,9.711244009E0
8.554179999E-1,1.548679504E0,4.001029816E0,8.800499268E0,9.790578898E0
8.653599997E-1,1.616638184E0,4.014052734E0,8.797655182E0,9.804329404E0
8.753020000E-1,1.498384094E0,3.996239777E0,8.865913239E0,9.839690280E0
8.852439998E-1,1.197509766E0,3.917353821E0,9.145531769E0,1.002100005E1
8.951859996E-1,9.032217407E-1,3.777843933E0,9.637109528E0,1.039046651E1
9.051269996E-1,6.045927429E-1,3.622467041E0,1.018691620E1,1.082871467E1
9.150689999E-1,3.484753418E-1,3.459456024E0,1.057131683E1,1.112843253E1
9.250111249E-1,1.383123779E-1,3.296295319E0,1.064780777E1,1.114721954E1
9.349531247E-1,-6.885681152E-3,3.193159790E0,1.049991531E1,1.097472271E1
9.448951250E-1,4.026626587E-2,3.194956055E0,1.008931915E1,1.058318130E1
9.548371248E-1,1.484912109E-1,3.320844269E0,9.394015045E0,9.964816856E0
9.647791246E-1,3.323089600E-1,3.463198242E0,8.744066620E0,9.410784896E0
9.747211249E-1,6.475534058E-1,3.814966736E0,8.310119019E0,9.166862861E0
9.846631247E-1,9.337582397E-1,3.993695068E0,7.879464569E0,8.882987484E0
9.946041247E-1,1.128952332E0,4.096980286E0,7.617958374E0,8.723134220E0
1.004546125E0,1.296903076E0,4.168232117E0,7.602390747E0,8.766553578E0
1.014488125E0,1.345701599E0,4.162094879E0,7.782166901E0,8.927265441E0
1.024430125E0,1.280137939E0,4.194876709E0,8.063282318E0,9.178903284E0
1.034372125E0,1.154399414E0,4.189487915E0,8.285270691E0,9.355755310E0
1.044314125E0,9.900411987E-1,4.120182037E0,8.337362366E0,9.352416416E0
1.054256125E0,7.673043823E-1,4.098177795E0,8.434360657E0,9.408626730E0
1.064198125E0,6.557862854E-1,4.144730988E0,8.446485443E0,9.431435042E0
1.074140125E0,5.864804077E-1,4.165687408E0,8.498427429E0,9.482625144E0
1.084081125E0,4.662803650E-1,4.207600250E0,8.666228485E0,9.644938227E0
1.094023125E0,3.858975220E-1,4.252357178E0,8.911867676E0,9.881945352E0
1.103965125E0,3.167413330E-1,4.353097687E0,9.052275696E0,1.004955122E1
1.113907125E0,3.073109436E-1,4.483177185E0,9.001531219E0,1.006085891E1
1.123849125E0,4.239184570E-1,4.607269135E0,8.886719971E0,1.001900332E1
1.133791125E0,4.770579529E-1,4.646637268E0,8.700956268E0,9.875498072E0
1.143733125E0,4.424798584E-1,4.658612366E0,8.513845367E0,9.715143876E0
1.153675125E0,5.758525085E-1,4.641547852E0,8.412506104E0,9.625270464E0
1.163617125E0,6.209088135E-1,4.615502014E0,8.378227386E0,9.585566271E0
1.173558125E0,5.689668274E-1,4.507875824E0,8.339308319E0,9.496774765E0
1.183500125E0,7.478448486E-1,4.535568237E0,8.457412720E0,9.625927543E0
1.193442125E0,1.220861206E0,4.920118561E0,8.706494751E0,1.007477640E1
1.203384125E0,1.376836853E0,5.197042694E0,8.765172729E0,1.028266432E1
1.213326125E0,1.447489929E0,5.253924408E0,8.738079071E0,1.029820250E1
1.223268125E0,9.039701843E-1,4.672234039E0,8.494086456E0,9.736346221E0
1.233210125E0,2.577639771E-1,4.527335358E0,8.500972137E0,9.634818887E0
1.243152125E0,1.326242065E-1,4.783901825E0,8.754395142E0,9.977110812E0
1.253094125E0,4.520599365E-1,5.453160095E0,8.913514252E0,1.045906542E1
1.263035125E0,4.794529724E-1,5.442083130E0,8.887019348E0,1.043193447E1
1.272977125E0,2.706372070E-1,5.174439697E0,8.713829498E0,1.013799266E1
1.282919125E0,1.173559570E-1,5.005141754E0,8.616980896E0,9.965820396E0
1.292861125E0,-6.286926270E-3,4.899910583E0,8.532706146E0,9.839524248E0
1.302803125E0,2.383044434E-1,4.742288361E0,8.485404510E0,9.723588721E0
1.312745125E0,3.782633972E-1,4.612807617E0,9.040150909E0,1.015605267E1
1.322687125E0,-2.713856506E-1,4.542902985E0,9.432335358E0,1.047284909E1
1.332629125E0,-4.433779907E-1,4.366869049E0,9.472451935E0,1.043999401E1
1.342571125E0,-5.897735596E-1,4.343218231E0,9.249415741E0,1.023538319E1
1.352513125E0,-5.138813782E-1,4.386029205E0,9.062005463E0,1.008073754E1
1.362454125E0,-2.902464294E-1,4.520749054E0,8.995543671E0,1.007180326E1
1.372396125E0,-2.251318359E-1,4.596641235E0,8.995543671E0,1.010443472E1
1.382338125E0,-2.360591125E-1,4.552782440E0,9.085356903E0,1.016500182E1
1.392280125E0,-3.513194275E-1,4.414170685E0,9.087003479E0,1.010850931E1
1.402222125E0,-5.221142578E-1,4.394411774E0,8.787925415E0,9.839262738E0
1.412164125E0,-8.619076538E-1,4.556225281E0,8.385262756E0,9.581999014E0
1.422106125E0,-1.086141357E0,4.699028320E0,7.994425507E0,9.336563039E0
1.432048125E0,-1.098415833E0,4.778363342E0,7.657027130E0,9.092268036E0
1.441990125E0,-9.996212769E-1,4.582420807E0,7.518415375E0,8.861399037E0
1.451931125E0,-9.824070740E-1,4.695735168E0,8.014783173E0,9.340867290E0
1.461873125E0,-1.029109955E0,4.965474243E0,8.762777710E0,1.012429133E1
1.471815125E0,-7.333250427E-1,4.934937744E0,9.538314972E0,1.076433132E1
1.481757125E0,-8.539741516E-1,5.187312927E0,9.668693848E0,1.100550444E1
1.491699125E0,-8.684939575E-1,5.386398926E0,9.421408081E0,1.088717160E1
1.501641125E0,-1.510957947E0,4.297862549E0,9.536069641E0,1.056840767E1
1.511583125E0,-1.756447449E0,3.397933960E0,9.905651093E0,1.061852091E1
1.521525125E0,-1.682052155E0,3.045716400E0,1.062475571E1,1.117994283E1
1.531467125E0,-1.496288452E0,2.997067566E0,1.097802109E1,1.147772800E1
1.541408125E0,-1.456171875E0,2.918780365E0,1.061278061E1,1.110273964E1
1.551350125E0,-1.306632843E0,3.038830719E0,9.879006500E0,1.041808768E1
1.561292125E0,-1.235680389E0,3.126398621E0,9.055419159E0,9.659290373E0
1.571234125E0,-1.361718292E0,3.290158081E0,8.181087341E0,8.922421588E0
1.581176125E0,-1.495540009E0,3.379073181E0,7.711813202E0,8.551423176E0
1.591118125E0,-1.530567169E0,3.563339996E0,7.769443359E0,8.683563664E0
1.601060125E0,-1.276844788E0,3.868255920E0,7.901468811E0,8.889710111E0
1.611002125E0,-1.025218048E0,3.827839966E0,7.731272736E0,8.687692960E0
1.620944125E0,-9.665400696E-1,3.715423737E0,7.630083160E0,8.541471904E0
1.630886125E0,-1.225651245E0,3.802991638E0,7.723189545E0,8.695551916E0
1.640827125E0,-1.428030396E0,3.864513702E0,7.891439667E0,8.902165859E0
1.650769125E0,-1.417552185E0,3.770060120E0,8.253386993E0,9.183746750E0
1.660711125E0,-1.255139923E0,3.534749451E0,9.022038574E0,9.770722079E0
1.670653125E0,-1.205892334E0,3.390150146E0,9.800719299E0,1.044037323E1
1.680595125E0,-1.350791016E0,3.308719482E0,1.020951920E1,1.081695628E1
1.690537125E0,-1.457818451E0,3.261417847E0,1.042492126E1,1.102003014E1
1.700479125E0,-1.498833160E0,3.239413605E0,1.024798920E1,1.085180095E1
1.710421125E0,-1.519340515E0,3.210972748E0,9.852960663E0,1.047375651E1
1.720363125E0,-1.389410706E0,3.526067505E0,9.580976257E0,1.030333539E1
1.730305125E0,-1.286873932E0,3.707639923E0,9.292975159E0,1.008771657E1
1.740246125E0,-1.210832062E0,3.685186615E0,8.937165070E0,9.742670791E0
1.750188125E0,-1.102008362E0,3.813619537E0,8.690927124E0,9.554597358E0
1.760130125E0,-1.009650421E0,3.894002380E0,8.501570892E0,9.405283417E0
1.770072125E0,-8.536747742E-1,3.922293549E0,8.401279449E0,9.310995848E0
1.780014125E0,-7.478448486E-1,3.913910980E0,8.312663727E0,9.218370209E0
1.789956125E0,-7.396119690E-1,3.896247711E0,8.206384735E0,9.114412900E0
1.799898125E0,-7.509883118E-1,3.880081329E0,8.117170258E0,9.028148623E0
1.809840125E0,-7.372169495E-1,3.862418060E0,7.952512665E0,8.871539877E0
1.819782125E0,-7.779322815E-1,3.902983704E0,7.902965698E0,8.848464683E0
1.829724125E0,-8.625064087E-1,3.992048492E0,7.887847137E0,8.882482814E0
1.839665125E0,-9.580078125E-1,4.020189972E0,7.957901459E0,8.967045333E0
1.849607125E0,-1.110241241E0,3.943998413E0,8.158634033E0,9.129680629E0
1.859549125E0,-1.261277161E0,3.870501251E0,8.431217194E0,9.362532957E0
1.869491125E0,-1.356778564E0,3.798500977E0,8.678652649E0,9.570186495E0
1.879433125E0,-1.326691132E0,3.734284515E0,8.791218567E0,9.643158927E0
1.889375125E0,-1.181044006E0,3.699407043E0,8.737630005E0,9.561728689E0
1.899317125E0,-1.010398865E0,3.608096924E0,8.605754242E0,9.386068152E0
1.909259125E0,-8.437953186E-1,3.429368591E0,8.658294983E0,9.350862607E0
1.919201375E0,-7.116201782E-1,3.318000183E0,8.853040009E0,9.481131045E0
1.929143375E0,-6.210585022E-1,3.185974731E0,9.088350677E0,9.650609654E0
1.939084375E0,-6.237528992E-1,3.034639435E0,9.452243958E0,9.947010607E0
1.949026375E0,-5.855822754E-1,3.013832703E0,9.852212219E0,1.031950482E1
1.958968375E0,-2.887495422E-1,3.166515198E0,1.009635452E1,1.058520522E1
