"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.467321250E-1,9.873468018E-1,4.953499146E0,8.062084808E0,9.513633320E0
6.567391250E-1,1.172212372E0,5.063071289E0,7.819439392E0,9.388951226E0
6.667451250E-1,1.710642700E0,4.898862762E0,8.378676453E0,9.855322111E0
6.767511250E-1,2.101479950E0,4.724325714E0,9.143585815E0,1.050431497E1
6.867581250E-1,2.080523529E0,4.790039062E0,9.470056915E0,1.081457490E1
6.967641250E-1,1.710642700E0,4.891228638E0,9.395661621E0,1.072981236E1
7.067711250E-1,1.097966766E0,4.964276733E0,9.119785309E0,1.044126710E1
7.167771250E-1,1.106049957E0,5.115312653E0,8.736881561E0,1.018444252E1
7.267831250E-1,9.719288635E-1,5.522915039E0,7.959697723E0,9.736735803E0
7.367901250E-1,8.355624390E-1,5.912554779E0,6.965614929E0,9.174762119E0
7.467961250E-1,1.105900269E0,6.197711792E0,6.674021301E0,9.174813741E0
7.568031250E-1,1.674867096E0,6.203549652E0,7.522606659E0,9.893372480E0
7.668091250E-1,3.357667694E0,5.556894379E0,9.569150848E0,1.156380800E1
7.768151250E-1,5.533992004E0,4.904101868E0,1.219169724E1,1.425877849E1
7.868221250E-1,7.127129059E0,4.905299377E0,1.349174377E1,1.602763491E1
7.968281250E-1,7.694000244E0,5.412893829E0,1.298609528E1,1.603545228E1
8.068341250E-1,7.275171204E0,6.387666779E0,1.177137131E1,1.524124619E1
8.168411250E-1,7.133715363E0,7.573500824E0,1.122755219E1,1.530704863E1
8.268471250E-1,7.749085693E0,8.500223694E0,1.174352921E1,1.643814497E1
8.368541250E-1,8.568332062E0,8.915909271E0,1.251248016E1,1.759181379E1
8.468601250E-1,8.855584717E0,8.464148712E0,1.252894592E1,1.752249069E1
8.568661250E-1,8.140072632E0,7.629634094E0,1.221669525E1,1.654447768E1
8.668731250E-1,7.315437469E0,6.913972321E0,1.086515579E1,1.481115286E1
8.768791250E-1,6.122118988E0,6.533313904E0,9.401050415E0,1.298246049E1
8.868851250E-1,4.849315796E0,6.199058990E0,8.493787079E0,1.157966386E1
8.968921250E-1,3.896996155E0,5.912105713E0,7.687863007E0,1.045192856E1
9.068981250E-1,2.925216980E0,5.517526245E0,6.834337921E0,9.257870439E0
9.169051250E-1,1.948348389E0,5.073998566E0,5.961502991E0,8.067282120E0
9.269111250E-1,1.051413574E0,4.687951355E0,5.059029694E0,6.976828782E0
9.369171250E-1,4.281097412E-2,4.396806793E0,4.370461578E0,6.199570724E0
9.469241250E-1,-9.668394470E-1,4.315675507E0,4.011657715E0,5.971032676E0
9.569301250E-1,-1.607207794E0,3.814367981E0,3.073109436E0,5.155242147E0
9.669371250E-1,-2.453398132E0,3.139122162E0,2.017205200E0,4.465687759E0
9.769431250E-1,-3.327280884E0,1.929188232E0,2.280657349E0,4.471460976E0
9.869491250E-1,-3.644620972E0,9.401948547E-1,2.335593109E0,4.429697909E0
9.969561250E-1,-3.857328644E0,1.077908478E0,1.758842468E0,4.374288260E0
1.006962125E0,-3.502266998E0,1.988315277E0,2.151326294E0,4.565903699E0
1.016968125E0,-3.182681580E0,2.874472504E0,1.771266632E0,4.639982726E0
1.026975125E0,-3.109633484E0,2.994822235E0,1.192570038E0,4.478951207E0
1.036981125E0,-3.188818817E0,2.763104095E0,1.167122955E0,4.377840299E0
1.046988125E0,-2.913391571E0,3.050955505E0,1.915117493E0,4.632909988E0
1.056994125E0,-2.114353180E0,4.084556122E0,2.697690125E0,5.332130915E0
1.067000125E0,-1.240021362E0,4.952451324E0,2.828368378E0,5.836445389E0
1.077007125E0,-1.710493011E0,4.062102814E0,2.979404297E0,5.320086050E0
1.087013125E0,-1.616638184E0,3.705244904E0,4.457430725E0,6.017561589E0
1.097019125E0,-1.324745178E0,4.071682892E0,6.206393738E0,7.540084521E0
1.107026125E0,-1.464853821E0,3.926634521E0,6.958579559E0,8.123181942E0
1.117032125E0,-1.271755371E0,3.919898529E0,6.878196716E0,8.018263919E0
1.127039125E0,-9.743238831E-1,4.261488190E0,6.382427673E0,7.735953181E0
1.137045125E0,-5.528004456E-1,4.849914551E0,6.190526733E0,7.883519564E0
1.147051125E0,7.574249268E-2,4.997807007E0,6.264323273E0,8.014084968E0
1.157058125E0,4.290078735E-1,4.845872955E0,6.337521057E0,7.989412094E0
1.167064125E0,6.903643799E-1,4.757406921E0,5.905669098E0,7.614883524E0
1.177071125E0,1.075663147E0,4.604574738E0,5.212760010E0,7.037899306E0
1.187077125E0,1.723665619E0,4.193230133E0,4.897515564E0,6.673819058E0
1.197083125E0,2.334694977E0,3.415148163E0,5.019811249E0,6.504809189E0
1.207090125E0,2.409689026E0,2.764151917E0,5.815406799E0,6.875034055E0
1.217096125E0,2.235750732E0,2.160157928E0,6.943460999E0,7.607661549E0
1.227102125E0,2.260748749E0,1.545985107E0,7.729177094E0,8.200075207E0
1.237109125E0,2.458487549E0,8.816665649E-1,7.962392120E0,8.379808186E0
1.247115125E0,2.305505676E0,2.170486450E-2,7.383695526E0,7.735294897E0
1.257122125E0,2.022593994E0,-6.703060913E-1,6.345753937E0,6.693936790E0
1.267128125E0,1.617386627E0,-1.121767273E0,5.103187866E0,5.469627749E0
1.277134125E0,1.415157166E0,-1.345701599E0,3.866459656E0,4.331638589E0
1.287141125E0,1.722917175E0,-1.008303223E0,2.574795685E0,3.258019613E0
1.297147125E0,2.084565125E0,-6.152206421E-2,1.508113861E0,2.573636365E0
1.307154125E0,2.129920807E0,7.481442261E-1,8.684939575E-1,2.418793952E0
1.317160125E0,2.031725006E0,9.716294861E-1,4.242178345E-1,2.291709216E0
1.327166125E0,2.027533722E0,1.226998444E0,5.541476440E-1,2.433823696E0
1.337173125E0,2.176473999E0,1.662742310E0,1.992506561E0,3.387009515E0
1.347179125E0,2.652035065E0,1.939067688E0,4.438719635E0,5.522273579E0
1.357185125E0,3.316652985E0,1.967059479E0,7.073091431E0,8.055937711E0
1.367192125E0,3.991599426E0,2.193837891E0,9.072483673E0,1.015163783E1
1.377198125E0,4.557422791E0,3.045117645E0,9.997410278E0,1.140136203E1
1.387205125E0,5.685626678E0,4.535119171E0,1.138652161E1,1.351097816E1
1.397211125E0,7.229815521E0,5.922284546E0,1.368199814E1,1.656927155E1
1.407217125E0,7.860753479E0,6.525380402E0,1.562495773E1,1.866845839E1
1.417224125E0,6.767576752E0,6.244264984E0,1.692784836E1,1.927026181E1
1.427230125E0,4.689148865E0,5.509742432E0,1.740640320E1,1.885015255E1
1.437237125E0,2.917433167E0,5.202730865E0,1.705508377E1,1.806808532E1
1.447243125E0,2.200873260E0,5.436993713E0,1.585158646E1,1.690199802E1
1.457249125E0,2.922372894E0,6.744375000E0,1.462249237E1,1.636594454E1
1.467256125E0,4.235292664E0,8.570427704E0,1.554622147E1,1.825034073E1
1.477262125E0,5.253774719E0,9.249266052E0,1.852502701E1,2.136182803E1
1.487268125E0,5.993386688E0,9.389973450E0,2.170606201E1,2.439765180E1
1.497275125E0,5.436245270E0,9.154213715E0,2.394196243E1,2.620247997E1
1.507281125E0,4.604724426E0,9.202862549E0,2.446108292E1,2.653753462E1
1.517288125E0,4.296066284E0,9.741891632E0,2.310445404E1,2.543966263E1
1.527294125E0,4.768334198E0,1.076486435E1,2.098980148E1,2.406638905E1
1.537300125E0,6.341412964E0,1.203377563E1,1.971699829E1,2.395381590E1
1.547307125E0,7.072043610E0,1.323622513E1,1.904609344E1,2.424799233E1
1.557313125E0,6.350843353E0,1.367346588E1,1.881692001E1,2.411168512E1
1.567319125E0,5.493126984E0,1.309207489E1,1.983151016E1,2.438986807E1
1.577326125E0,5.653443604E0,1.182166672E1,2.171010361E1,2.535826940E1
1.587332125E0,5.823340302E0,1.095616653E1,2.330683319E1,2.640373744E1
1.597339125E0,5.682034149E0,1.056173676E1,2.358779892E1,2.646167140E1
1.607345125E0,5.376220093E0,9.749226379E0,2.189736420E1,2.456513212E1
1.617351125E0,5.031187592E0,9.319919128E0,1.921838516E1,2.194356556E1
1.627358125E0,4.632117462E0,9.255552979E0,1.624646530E1,1.926316194E1
1.637364125E0,3.981270905E0,9.552236023E0,1.371088806E1,1.717801451E1
1.647371125E0,2.560126190E0,9.702972565E0,1.275602371E1,1.623015908E1
1.657377125E0,1.056952057E0,8.737929382E0,1.302486465E1,1.571991275E1
1.667383125E0,1.293310547E-1,7.862699432E0,1.307905197E1,1.526107366E1
1.677390125E0,2.951861572E-1,8.008645935E0,1.293370422E1,1.521532943E1
1.687396125E0,1.050515442E0,8.200995941E0,1.285287231E1,1.528254703E1
1.697402125E0,1.388362885E0,8.340505829E0,1.254241791E1,1.512626312E1
1.707409125E0,1.499581604E0,8.643475800E0,1.182196609E1,1.472132131E1
1.717415125E0,2.047891388E0,8.888665924E0,1.125434647E1,1.448663368E1
1.727422125E0,2.904709625E0,8.595575409E0,1.098580490E1,1.424812844E1
1.737428125E0,3.579805756E0,8.300239563E0,1.062206131E1,1.394765832E1
1.747434125E0,3.797752533E0,8.076454926E0,9.909992065E0,1.333641598E1
1.757441125E0,4.373455353E0,8.171207886E0,9.527238007E0,1.329150157E1
1.767447125E0,5.073699188E0,8.111631775E0,9.934241638E0,1.379239466E1
1.777453125E0,5.681285706E0,7.960446167E0,1.059272232E1,1.441705506E1
1.787460125E0,5.983956299E0,7.231312408E0,1.127290787E1,1.466894897E1
1.797466125E0,5.539231110E0,5.358706512E0,1.160656403E1,1.393237759E1
1.807473125E0,4.198469238E0,3.050207062E0,1.121797211E1,1.236017011E1
1.817479125E0,3.210823059E0,1.300495605E0,1.022673340E1,1.079753442E1
1.827485125E0,2.854563904E0,-1.272354126E-2,8.907526703E0,9.353754804E0
1.837492125E0,2.578837280E0,-1.906136169E0,7.600444794E0,8.249273779E0
1.847498125E0,2.560575256E0,-3.862418060E0,6.652466125E0,8.107411700E0
1.857505125E0,2.134710846E0,-5.718558197E0,5.994584198E0,8.555345578E0
1.867511125E0,8.702902222E-1,-7.547155609E0,4.888534241E0,9.034087108E0
1.877517125E0,-1.272204437E0,-9.347012787E0,3.015329590E0,9.903401673E0
1.887524125E0,-3.772006073E0,-1.075393707E1,5.373825073E-1,1.140894265E1
1.897530125E0,-5.985153809E0,-1.128608047E1,-2.392474823E0,1.299698482E1
1.907536125E0,-7.498806152E0,-1.098191299E1,-5.389243011E0,1.434846497E1
1.917543125E0,-8.105494537E0,-1.030382309E1,-7.841443634E0,1.527599588E1
1.927549125E0,-7.955057373E0,-9.482032013E0,-8.867559814E0,1.522581643E1
1.937556125E0,-7.261100464E0,-8.791368256E0,-8.536747742E0,1.424386878E1
1.947562125E0,-6.008205872E0,-8.014633484E0,-7.518565063E0,1.252444443E1
1.957568125E0,-4.759203186E0,-7.129973145E0,-6.586004333E0,1.081027220E1
1.967575125E0,-4.116140442E0,-6.531218262E0,-6.158643036E0,9.875642165E0
1.977581125E0,-3.947441254E0,-6.180048523E0,-6.119574280E0,9.551150798E0
1.987588125E0,-4.001628571E0,-6.005062408E0,-5.956862640E0,9.357244160E0
1.997594125E0,-4.295317841E0,-5.908363495E0,-5.678291931E0,9.252108613E0
2.007600125E0,-4.645290070E0,-5.697452087E0,-5.382806396E0,9.111217527E0
2.017607125E0,-4.682712250E0,-5.154830475E0,-4.985083466E0,8.564527331E0
2.027613125E0,-4.421505432E0,-4.429588623E0,-4.473148041E0,7.692855065E0
2.037619125E0,-3.967649231E0,-3.524869995E0,-4.004023590E0,6.648244416E0
2.047625750E0,-3.050057373E0,-2.783611450E0,-3.485501862E0,5.403708533E0
2.057631750E0,-2.411485291E0,-2.110610962E0,-2.597698059E0,4.125284856E0
2.067638750E0,-2.282303925E0,-1.477277985E0,-2.063908081E0,3.413352899E0
2.077644750E0,-3.187321930E0,-1.153201904E0,-2.707569580E0,4.338182655E0
2.087650750E0,-4.389472046E0,-1.387913818E0,-4.507426758E0,6.442877120E0
2.097657750E0,-4.317471771E0,-1.288370819E0,-6.268963623E0,7.720127380E0
2.107663750E0,-2.408491516E0,-3.038681030E-1,-6.658603363E0,7.087324316E0
2.117670750E0,7.167095947E-1,1.184337158E0,-5.226231995E0,5.406461690E0
2.127676750E0,3.789819031E0,3.811074829E-1,-3.258873138E0,5.012806133E0
2.137682750E0,4.744084625E0,-7.325765991E-1,-6.825805664E-1,4.848600173E0
2.147689750E0,4.653373260E0,-9.580078125E-3,1.981279907E0,5.057612535E0
2.157695750E0,4.085603943E0,1.795216827E0,4.136498108E0,6.084864800E0
2.167701750E0,4.913681946E0,2.806364136E0,6.181695099E0,8.380531261E0
2.177708750E0,7.522007904E0,4.155059509E0,7.692802734E0,1.153361766E1
2.187714750E0,9.012757874E0,7.236401825E0,9.688901825E0,1.508211306E1
2.197721750E0,8.992100830E0,9.350755005E0,1.134685410E1,1.723501072E1
2.207727750E0,8.406967621E0,9.887987823E0,1.268776566E1,1.815017369E1
2.217733750E0,8.449778595E0,1.168949158E1,1.399514694E1,2.009744037E1
2.227740750E0,8.636290741E0,1.357107880E1,1.671184753E1,2.319580879E1
2.237746750E0,8.374335480E0,1.408046951E1,2.005020538E1,2.589208088E1
2.247753750E0,7.937244415E0,1.509476028E1,2.256362869E1,2.828372282E1
2.257759750E0,7.570806427E0,1.582239716E1,2.420301956E1,2.989065937E1
2.267765750E0,7.123237152E0,1.534054916E1,2.452679626E1,2.979323231E1
2.277772750E0,6.946454773E0,1.535252426E1,2.436573120E1,2.962502476E1
2.287778750E0,7.815846863E0,1.619422394E1,2.457140350E1,3.044822197E1
2.297784750E0,9.101972351E0,1.699820206E1,2.396232010E1,3.075674818E1
2.307791750E0,1.056592804E1,1.860436203E1,2.264640656E1,3.115478858E1
2.317797750E0,1.127036316E1,1.915835999E1,2.165696411E1,3.103365814E1
2.327804750E0,1.149594406E1,1.758138931E1,2.064117645E1,2.945029958E1
2.337810750E0,1.131661697E1,1.619332581E1,2.019435562E1,2.825069237E1
2.347816750E0,1.101484451E1,1.505614059E1,2.035018158E1,2.760695672E1
2.357823750E0,1.115540222E1,1.467443436E1,2.065614532E1,2.768498442E1
2.367829750E0,1.151525391E1,1.497426086E1,2.210363525E1,2.907576744E1
2.377836750E0,1.267459305E1,1.478595245E1,2.402399185E1,3.092607126E1
2.387842750E0,1.350132385E1,1.420785461E1,2.503304352E1,3.179311476E1
2.397848750E0,1.424018738E1,1.309536804E1,2.544378937E1,3.196338559E1
2.407855750E0,1.477292953E1,1.121797211E1,2.514800446E1,3.124907156E1
2.417861750E0,1.429182999E1,9.950408020E0,2.353660538E1,2.927864097E1
2.427867750E0,1.326721069E1,1.008123596E1,2.221829681E1,2.777234076E1
2.437874750E0,1.166015259E1,1.056622742E1,2.226694565E1,2.726575120E1
2.447880750E0,9.714797974E0,1.068972061E1,2.284833664E1,2.703135057E1
2.457887750E0,7.473508759E0,1.022104523E1,2.266287231E1,2.596014022E1
2.467893750E0,5.073549500E0,9.922565918E0,2.132585266E1,2.406221541E1
2.477899750E0,2.318977661E0,1.032103729E1,1.874282410E1,2.152196374E1
2.487906750E0,7.828720093E-2,1.145912064E1,1.584155731E1,1.955179052E1
2.497912750E0,3.656895447E-1,1.220621704E1,1.472173599E1,1.912733578E1
2.507918750E0,-3.239263916E-1,1.342588074E1,1.539668243E1,2.043078637E1
2.517925750E0,-1.682351532E0,1.319910233E1,1.574575653E1,2.061493288E1
2.527931750E0,-3.047662354E0,1.134296219E1,1.614273102E1,1.996343662E1
2.537938750E0,-3.839964752E0,8.795559540E0,1.651710251E1,1.910292837E1
2.547944750E0,-4.041595459E0,5.307063904E0,1.570803497E1,1.706580745E1
2.557950750E0,-3.178490295E0,1.689087524E0,1.346330292E1,1.393615236E1
2.567957750E0,-1.838626556E0,-1.263672180E0,1.008872040E1,1.033245829E1
2.577963750E0,-5.228627014E-1,-3.231031036E0,6.083349609E0,6.907972889E0
2.587970750E0,8.249345398E-1,-4.653822327E0,1.846260681E0,5.074175573E0
2.597976750E0,1.898651733E0,-5.351521454E0,-2.617906036E0,6.252766771E0
2.607982750E0,2.214345245E0,-5.972430267E0,-6.306385803E0,8.963467525E0
2.617989750E0,1.941612396E0,-6.523733826E0,-8.843908997E0,1.115991434E1
2.627995750E0,1.550475769E0,-6.532266083E0,-9.879455566E0,1.194479458E1
2.638001750E0,8.497828674E-1,-6.483617249E0,-9.678273926E0,1.168025726E1
2.648008750E0,-8.337661743E-2,-6.447841644E0,-9.220226440E0,1.125140832E1
2.658014750E0,-9.548643494E-1,-6.587950287E0,-8.717571716E0,1.096854191E1
2.668021750E0,-1.959724731E0,-6.863676910E0,-7.928712158E0,1.066841405E1
2.678027750E0,-2.971919861E0,-6.956783295E0,-7.001839600E0,1.030800171E1
2.688033750E0,-3.565285950E0,-6.992409210E0,-5.903274078E0,9.821084223E0
2.698040750E0,-3.879183197E0,-6.896608429E0,-4.903952179E0,9.309136215E0
2.708046750E0,-3.800147552E0,-6.362968140E0,-4.068988495E0,8.454889256E0
2.718053750E0,-3.620371399E0,-5.637127533E0,-3.542982330E0,7.578721507E0
