"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.562729585E-1,6.827302551E-1,-1.627116394E-1,-7.722441101E-1,1.043530855E0
6.662139585E-1,3.418890381E-1,3.010240173E-1,4.803511047E-1,6.619975507E-1
6.761549585E-1,1.118623810E0,-2.664459229E-2,4.822970581E-1,1.218457884E0
6.860959581E-1,2.227368164E0,-2.989283752E-1,2.064207458E-1,2.256797872E0
6.960379584E-1,2.700683899E0,-3.291654968E-1,9.792636108E-1,2.891539498E0
7.059789584E-1,2.183808746E0,-1.619631958E-1,3.596870270E0,4.211024632E0
7.159209582E-1,1.161883850E0,5.284011841E-1,7.703280945E0,7.808310906E0
7.258619582E-1,-3.631448364E-1,1.603016510E0,1.159264297E1,1.170858263E1
7.358029583E-1,-1.096918945E0,2.680026855E0,1.512574585E1,1.540045333E1
7.457449585E-1,-6.225553894E-1,3.163521423E0,1.851320160E1,1.879186197E1
7.556859585E-1,3.480262756E-1,2.833607483E0,2.192849945E1,2.211356013E1
7.656269581E-1,8.360115051E-1,1.636995850E0,2.627695679E1,2.634116794E1
7.755689584E-1,6.512956238E-1,7.185058594E-3,2.952624985E1,2.953343305E1
7.855099584E-1,1.620979156E0,-5.493576050E-1,3.084680374E1,3.089424976E1
7.954509584E-1,2.813698883E0,-3.472778320E-1,3.078722763E1,3.091748516E1
8.053929582E-1,3.153791656E0,-4.140390015E-1,2.987233017E1,3.004120404E1
8.153339582E-1,2.746189270E0,-5.276527405E-1,2.861928589E1,2.875558203E1
8.252749583E-1,1.703158264E0,-6.460565186E-1,2.683200256E1,2.689376319E1
8.352169585E-1,5.078938293E-1,-5.631289673E-1,2.440270432E1,2.441448439E1
8.451579581E-1,-2.755769348E-1,-6.810836792E-2,2.157852722E1,2.158039431E1
8.550989581E-1,-7.587721252E-1,5.689668274E-1,1.858654907E1,1.861072983E1
8.650409584E-1,-9.147477722E-1,1.116228790E0,1.548260376E1,1.554971863E1
8.749819584E-1,-8.403524780E-1,1.409918060E0,1.250275040E1,1.261002889E1
8.849229584E-1,-7.403604126E-1,1.541943512E0,9.736951904E0,9.886048539E0
8.948649582E-1,-7.135661316E-1,1.435365143E0,7.348219299E0,7.521022310E0
9.048062083E-1,-6.316864014E-1,1.044378204E0,5.119354248E0,5.262845377E0
9.147472084E-1,-4.709207153E-1,7.732919312E-1,3.173700256E0,3.300321204E0
9.246892082E-1,7.694000244E-2,5.833369446E-1,1.780846710E0,1.875531061E0
9.346302082E-1,8.015830994E-1,4.191284180E-1,8.481362915E-1,1.239975510E0
9.445712082E-1,1.424437866E0,4.905299377E-1,2.170486450E-2,1.506689734E0
9.545132085E-1,2.092049561E0,4.707710266E-1,-7.923023987E-1,2.286053327E0
9.644542085E-1,2.479144592E0,5.289999390E-1,-1.634002075E0,3.015951198E0
9.743952085E-1,2.456990662E0,6.075865173E-1,-2.232307892E0,3.374783402E0
9.843372083E-1,2.325114899E0,8.680448914E-1,-2.370470581E0,3.432024476E0
9.942782084E-1,2.226919098E0,9.270222473E-1,-1.997595978E0,3.131920913E0
1.004219208E0,2.100282440E0,7.722441101E-1,-1.044527893E0,2.469531497E0
1.014161208E0,2.356848907E0,6.997947693E-1,1.490899658E-1,2.463062587E0
1.024102208E0,2.532433777E0,4.444258118E-1,1.087338867E0,2.791601861E0
1.034043208E0,2.581980743E0,2.085163879E-1,1.981130219E0,3.261131795E0
1.043985208E0,2.224524078E0,3.432362366E-1,2.716550903E0,3.527884253E0
1.053926209E0,1.254690857E0,5.571414185E-1,3.227588196E0,3.507418034E0
1.063867209E0,3.576063538E-1,7.321275330E-1,3.809877319E0,3.896031085E0
1.073809208E0,-4.400848389E-1,7.725434875E-1,4.623285828E0,4.708000632E0
1.083750208E0,-1.231938171E0,6.361770630E-1,6.120173035E0,6.275261818E0
1.093691208E0,-1.676663361E0,4.911286926E-1,8.000712433E0,8.189249468E0
1.103633208E0,-1.945653992E0,3.061134338E-1,9.527238007E0,9.728696671E0
1.113574208E0,-2.293680267E0,6.406677246E-2,1.066846481E1,1.091243397E1
1.123515208E0,-2.946772156E0,1.335223389E-1,1.185474792E1,1.221623275E1
1.133457209E0,-3.810176697E0,6.174659729E-1,1.332633774E1,1.387407612E1
1.143398209E0,-4.380341034E0,9.419911194E-1,1.531195862E1,1.595402180E1
1.153339208E0,-4.887486420E0,8.023315430E-1,1.745041168E1,1.813968377E1
1.163281208E0,-4.653822327E0,6.993457031E-1,1.878728165E1,1.936773343E1
1.173222208E0,-3.858825531E0,4.950205994E-1,1.897334473E1,1.936810238E1
1.183163208E0,-3.243155823E0,2.543211365E-1,1.917482574E1,1.944882210E1
1.193105208E0,-2.815495148E0,1.020877075E-1,1.985082001E1,2.004975037E1
1.203046208E0,-2.563868408E0,-3.143463135E-3,2.052187454E1,2.068141112E1
1.212987208E0,-2.428849182E0,3.367996216E-2,2.048011139E1,2.062366129E1
1.222929209E0,-2.604134674E0,1.860630798E-1,1.956027420E1,1.973373922E1
1.232870208E0,-2.803669739E0,3.974235535E-1,1.810754517E1,1.832762127E1
1.242811208E0,-2.917133789E0,7.029382324E-1,1.640842850E1,1.668053709E1
1.252753208E0,-3.000809784E0,1.093176727E0,1.473011856E1,1.507236835E1
1.262694208E0,-3.230581970E0,1.553020477E0,1.319012100E1,1.366849752E1
1.272635208E0,-3.599414978E0,2.033371582E0,1.184666473E1,1.254726478E1
1.282577208E0,-3.681145020E0,2.468067627E0,1.066262695E1,1.154702559E1
1.292518208E0,-3.272494812E0,2.647843781E0,9.657766571E0,1.053530987E1
1.302459208E0,-2.917732544E0,2.590662689E0,8.959169312E0,9.771970688E0
1.312401208E0,-2.517464905E0,2.412682800E0,8.475225677E0,9.164503158E0
1.322342208E0,-2.015858002E0,2.164349213E0,8.285121002E0,8.797233714E0
1.332283208E0,-1.462458801E0,1.870659943E0,8.235723724E0,8.571190094E0
1.342225208E0,-9.958790588E-1,1.461261292E0,8.223898315E0,8.411870373E0
1.352166208E0,-6.191125488E-1,1.060245209E0,8.247848511E0,8.338730437E0
1.362107208E0,-2.239343262E-1,7.716453552E-1,8.042625275E0,8.082660728E0
